concept,label
inMohammedSVisionHeSawAnAngelWith70000HeadsEachOfWhichHad70000Mouths,"in Mohammed’s vision, he saw an angel with 70,000 heads each of which had 70,000 mouths"
lettersInTheLatinAlphabet,letters in the Latin alphabet
manSRedemptionByChrist,man’s redemption by Christ
mentalOrSpiritualDisorder,mental or spiritual disorder
numberOfAtomsComposingTheEarth,number of atoms composing the earth
numberOfGatesOrDoorsInValhalla,number of gates or doors in Valhalla
omicronDeltaKappa,Omicron Delta Kappa
petalsOfTheAjnaChakraBetweenTheEyebrows,petals of the Ajna Chakra (between the eyebrows)
psiSigmaPhi,Psi Sigma Phi
riverOfHeaven,River of Heaven
sacrifice,sacrifice
satanicInfluenceInManWhereIsManifestedAsDeceitfulAndDeformedDivineTruths,satanic influence in man where is manifested as deceitful and deformed divine truths
selfRealizationThroughAJourney,self-realization through a journey
solarYearsInADayOfBrahma,solar years in a day of Brahma
solarYearsInAGreatKalpa,solar years in a great kalpa
solarYearsInAManvantara,solar years in a manvantara
solarYearsInAMediumKalpa,solar years in a medium kalpa
solarYearsInAMonthOfBrahma,solar years in a month of Brahma
solarYearsInARegularKalpa,solar years in a regular kalpa
solarYearsInASatayuga,solar years in a satayuga
solarYearsInASmallKalpa,solar years in a small kalpa
surrenderOfTheEgo,surrender of the ego
the25PreceptsOfMahavira,the 25 precepts of Mahavira
theAbsenceOfLight,the absence of light
theCompletionOfCreation,the completion of Creation
theGhostOfAManKilledWhileHunting,the ghost of a man killed while hunting
theImmolationOfChristOnTheCross,the immolation of Christ on the Cross
theMercyOfGod,the mercy of God
thesesOfMartinLuther,theses of Martin Luther
theSicknessesLaunchedByAhriman,the sicknesses launched by Ahriman
theWivesOfSolomon,the wives of Solomon
thoseWhoHaveFreedThemselvesFromTheirKarmicBonds,those who have freed themselves from their karmic bonds
timesTheArchangelMichaelWillStrikeSatanWithHisSwordOnTheDayOfJudgment,times the archangel Michael will strike Satan with his sword on the Day of Judgment
virtueGrowingOutOfButUntaintedBySin,"virtue growing out of, but untainted by, sin"
abkhazia,Abkhazia
abkhazia,Abkhazia
abkhazia,Abkhazia
achievement,achievement
adelanteFraternity,Adelante Fraternity
afghanistan,Afghanistan
alabama,Alabama
alabama,Alabama
alabama,Alabama
alabama,Alabama
alabama,Alabama
alaska,Alaska
alaska,Alaska
alberta,Alberta
alberta,Alberta
argentina,Argentina
australia,Australia
australia,Australia
bangladesh,Bangladesh
benevolence,benevolence
capricorn,Capricorn
christ,Christ
fickleness,fickleness
finland,Finland
grief,grief
hawaii,Hawaii
hawaii,Hawaii
justice,justice
justice,Justice
liberia,Liberia
libya,Libya
longevity,longevity
maahes,Maahes
maleMasturbationAndItsObjectifiedEmotionalConsequences,male masturbation and its objectified emotional consequences
malta,Malta
mohammedDiedAtAge61Or62,Mohammed died at age 61 or 62
mohammedDiedAtAge61Or62,Mohammed died at age 61 or 62
newBrunswick,New Brunswick
newJersey,New Jersey
northKorea,North Korea
ohio,Ohio
oregon,Oregon
Oro,‘Oro
phiChi,Phi Chi
rhodeIsland,Rhode Island
sigmaMuSigma,Sigma Mu Sigma
southKorea,South Korea
spain,Spain
stupidity,stupidity
stupidity,Stupidity
temperance,temperance
temperance,Temperance
theHolySpirit,the Holy Spirit
theImmaculateConception,the Immaculate Conception
theTrinity,the Trinity
anIncreaseInIntensity,an increase in intensity
aRaiseInValueOrWorth,a raise in value or worth
aWidowSDevotionToHerHusbandSMemory,a widow’s devotion to her husband’s memory
breakingThroughToABetterPlaneOfExistence,breaking through to a better plane of existence
channelOfTruthFromAHigherNatureToALowerOne,channel of truth from a higher nature to a lower one
chastisement,chastisement
SanyN,Ọsanyìn
aDeity,a deity
anat,Anat
artemisDiana,Artemis/Diana
boniface,Boniface
divinities,divinities
euphemismForPenis,euphemism for penis
goingFromDarknessToLightFromEarthToHeaven,"going from darkness to light, from earth to heaven"
josephEspeciallyWhenShownWithCarpenterSTools,Joseph (especially when shown with carpenter’s tools)
lightning,lightning
lumberjacks,lumberjacks
placeOfPhysicalMoralOrMysticalTransmutation,"place of physical, moral, or mystical transmutation"
primitiveWarfare,primitive warfare
prolcus,Prolcus
recordingAngel,recording angel
regainingParadise,regaining Paradise
sacrifice,sacrifice
seversTheCycleOfBirthAndDeath,severs the cycle of birth and death
teshub,Teshub
theCriticalFaculty,the critical faculty
theExternalizationOfInnerEmotionsThoughtsPurposes,"the externalization of inner emotions, thoughts, purposes"
theFecundityOfRain,the fecundity of rain
theHumanConditionBeingTranscendedAndAHigherSpiritualLevelBeingAttained,the human condition being transcended and a higher spiritual level being attained
theUniqueForceFromWhichAllLivingThingsCome,the unique force from which all living things come
theWisdomOfTheLord,the wisdom of the Lord
thomasOfCanterbury,Thomas of Canterbury
adonis,Adonis
alabama,Alabama
alabama,Alabama
albania,Albania
apollo,Apollo
argentina,Argentina
aruba,Aruba
athenaMinerva,Athena/Minerva
australia,Australia
australia,Australia
australia,Australia
australia,Australia
australia,Australia
authority,authority
buddhism,Buddhism
carpenters,carpenters
chhattisgarh,Chhattisgarh
chief,chief
delaware,Delaware
destruction,destruction
dionysusBacchus,Dionysus/Bacchus
eastGermany,East Germany
esus,Esus
execution,execution
fertility,fertility
gujarat,Gujarat
hades,Hades
help,help
illinois,Illinois
india,India
indonesia,Indonesia
intercidona,Intercidona
iraq,Iraq
jharkhand,Jharkhand
johnTheBaptist,John the Baptist
judgment,judgment
judgment,Judgment
justice,justice
justice,Justice
laos,Laos
maahes,Maahes
martyrdom,martyrdom
maryland,Maryland
militaryService,military service
newfoundlandAndLabrador,Newfoundland and Labrador
newMexico,New Mexico
oman,Oman
osiris,Osiris
parashurama,Parashurama
perun,Perun
punishment,punishment
qatar,Qatar
ramman,Ramman
reintegration,reintegration
russia,Russia
russia,Russia
skyGods,sky gods
sovereignty,sovereignty
ssMatthew,SS Matthew
strength,strength
strength,Strength
support,support
tammuz,Tammuz
theIsleOfMan,the Isle of Man
thePhilippines,the Philippines
thePowerOfLight,the power of light
theSolar,the solar
theSun,the sun
aFavoriteInstrumentOfTheDevil,a favorite instrument of the devil
anEvilWomanWhoCanCorruptTheInnocent,an evil woman who can corrupt the innocent
anInsidiousTreacherousPersonBentOnMischief,an insidious treacherous person bent on mischief
basel,Basel
canOnlyBeKilledWithAMirrorThatWillReflectTheDeadlyGlanceBackUponTheCreature,can only be killed with a mirror that will reflect the deadly glance back upon the creature
mesmerism,mesmerism
phiDeltaPsi,Phi Delta Psi
possessedTheLookAndBreathOfDeath,possessed the look and breath of death
poverty,poverty
royalDescent,royal descent
sadisticAndDestructiveInstincts,sadistic and destructive instincts
sovereignPowerThatDestroysWhenDisrespected,sovereign power that destroys when disrespected
terrorToAllBeholders,terror to all beholders
theDestructiveFireThatPrecedesTransmutation,the destructive fire that precedes transmutation
theKingOfSerpents,the king of serpents
theMeldingOfManSHigherAndLowerNatures,the melding of man’s higher and lower natures
theMortalDangersOfLife,the mortal dangers of life
theUnconsciousWhichIsDangerousIfNotFaced,the unconscious which is dangerous if not faced
theYoungestSonInAFamily,the youngest son in a family
tryingToSolveAProblemWithoutSufficientKnowledge,trying to solve a problem without sufficient knowledge
vulcanMythology,Vulcan (mythology)
yerTanr,Yer Tanrı
alabama,Alabama
alberta,Alberta
assam,Assam
azerbaijan,Azerbaijan
azerbaijan,Azerbaijan
bahrain,Bahrain
bangladesh,Bangladesh
bangladesh,Bangladesh
barbados,Barbados
barbados,Barbados
belarus,Belarus
bhutan,Bhutan
bihar,Bihar
california,California
cruelty,cruelty
deadliness,deadliness
death,death
death,Death
estonia,Estonia
evil,evil
finland,Finland
france,France
freedom,freedom
germany,Germany
gibraltar,Gibraltar
hades,Hades
haryana,Haryana
haryana,Haryana
hongKong,Hong Kong
iDeclareAgainstYou,I declare against you
india,India
india,India
india,India
indonesia,Indonesia
indonesia,Indonesia
indonesia,Indonesia
ingenuousSimplicity,ingenuous simplicity
jamaica,Jamaica
knightlyService,knightly service
maryland,Maryland
massachusetts,Massachusetts
montana,Montana
montana,Montana
nangKwak,Nang Kwak
nangKwak,Nang Kwak
nebraska,Nebraska
newBrunswick,New Brunswick
newYorkCity,New York City
ohio,Ohio
oneOfTheFourAspectsOfTheDevil,one of the four aspects of the devil
palau,Palau
poland,Poland
poland,Poland
priapus,Priapus
protection,protection
quebec,Quebec
selene,Selene
sloth,sloth
sloth,Sloth
southDakota,South Dakota
sweden,Sweden
switzerland,Switzerland
theAntichrist,the Antichrist
theDevil,the devil
theDevil,the Devil
theEuropeanUnion,the European Union
thePhilippines,the Philippines
thePhilippines,the Philippines
theUnitedStates,the United States
theUnitedStates,the United States
tlaloc,Tlaloc
treachery,treachery
truth,truth
truth,Truth
ukraine,Ukraine
utah,Utah
vagina,vagina
venezuela,Venezuela
war,war
warrior,warrior
westVirginia,West Virginia
zeusJupiter,Zeus/Jupiter
abundance,abundance
abundance,Abundance
aChildSCradleToMakeItSleep,a child’s cradle to make it sleep
achievementInPoetrySongAndTheArtsInGeneral,"achievement in poetry, song, and the arts in general"
aDifficulty,a difficulty
aHumbleFood,a humble food
aLunarPower,a lunar power
ancestorOfTheRace,ancestor of the race
ancestorOfTheRace,ancestor of the race
charmToKeepDovesFromLeaving,charm to keep doves from leaving
charmToKeepDovesFromLeavingTheDovecote,charm to keep doves from leaving the dovecote
communionWithTheDead,communion with the dead
beware,beware
connectedWithWitchesMagicPower,"connected with witches, magic power"
crownOfMartyrs,crown of martyrs
falsePhilosophy,false philosophy
goodLuckCharm,good luck charm
gratitudePersonified,Gratitude personified
hatuibwari,Hatuibwari
iChangeButInDeath,I change but in death
impliesTheSubjectHadLiteraryOrArtisticMerit,implies the subject had literary or artistic merit
loveCharm,love charm
manSRemotenessAndSolitude,man’s remoteness and solitude
matureFeminineWantonness,mature feminine wantonness
placeWhereTheDeadAwaitedReincarnation,place where the dead awaited reincarnation
redBayLove,red bay love
rewardOfMerit,reward of merit
sacredToDaphneDionysusBacchusHeraJunoArtemisDianaSilvanusHestiaVestaSometimesApollo,"sacred to Daphne, Dionysus/Bacchus, Hera/Juno, Artemis/Diana, Silvanus, Hestia/Vesta, sometimes Apollo"
springGiftOfTheDeadToTheLiving,Spring gift of the dead to the living
sunshineInSolidForm,sunshine in solid form
theArts,the Arts
theFinalPort,the Final Port
theMultiplicityOfManifestation,the multiplicity of manifestation
transmogrification,transmogrification
victoryEspeciallyInASpiritualSense,"victory, especially in a spiritual sense"
chastity,chastity
chastity,chastity
chastity,Chastity
chastity,Chastity
christ,Christ
communication,communication
cunning,cunning
cunning,cunning
cunning,Cunning
cunning,Cunning
daphne,Daphne
death,death
death,death
death,death
death,death
death,Death
death,Death
death,Death
death,Death
deathOmen,death omen
energy,energy
eternity,eternity
fecundity,fecundity
ghosts,ghosts
guidance,guidance
idolatry,idolatry
idolatry,idolatry
idolatry,idolatry
immortality,immortality
initiation,initiation
joy,joy
leo,Leo
longevity,longevity
longevity,longevity
luxury,luxury
memory,memory
memory,memory
merit,merit
michael,Michael
mourning,mourning
parnassus,Parnassus
perfidy,perfidy
promotionOfFertility,promotion of fertility
protection,protection
purification,purification
rain,rain
rain,rain
refuge,refuge
regeneration,regeneration
reincarnation,reincarnation
religion,religion
religion,Religion
renewalOfLife,renewal of life
renown,renown
resurrection,resurrection
resurrection,resurrection
reward,reward
rosary,rosary
safety,safety
salvation,salvation
serviceGivingAnAlarm,service giving an alarm
soulsOfTheDead,souls of the dead
success,success
theArchangelsGabriel,the archangels Gabriel
theBible,the Bible
aFoodOfImmortality,a food of immortality
anIncarnationOfTheDevil,an incarnation of the devil
anUncleanAnima,an unclean anima
awarenessOfThePowersOfDarknessAndChaos,awareness of the powers of darkness and chaos
aWomanBetween80And90YearsOfAge,a woman between 80 and 90 years of age
blindnessToPatentTruths,blindness to patent truths
chamalkan,Chamalkan
clearSightedness,clear-sightedness
ghost,ghost
artemisDiana,Artemis/Diana
aYinAnimal,a yin animal
blindness,blindness
coolnessInTheTimeOfDanger,coolness in the time of danger
darkenedUnderstanding,darkened understanding
deathGod,death god
deathGod,death god
destroyerOfLife,destroyer of life
dracula,Dracula
eaterOfLight,eater of light
enemyOfLight,enemy of light
hiddenFears,hidden fears
hidingPlaceOfReligiousSecrets,hiding place of religious secrets
infernalPowerOrBeing,infernal power or being
invokedToPreventHorsesFromFalling,invoked to prevent horses from falling
mictlantecuhtli,Mictlantecuhtli
minyaSDaughters,Minya’s daughters
primitiveMedicine,primitive medicine
prolificMotherhood,prolific motherhood
restorationOfPrimordialPurity,restoration of primordial purity
rulerOfFire,ruler of fire
sacredToNirriti,sacred to Nirriti
sepiMalosi,Sepi Malosi
stalledSpiritualDevelopment,stalled spiritual development
taisumale,Taisumale
theDarkSideOfTheUnconscious,the dark side of the unconscious
theSoulOfAMan,the soul of a man
topsyTurvyWorldView,topsy-turvy world view
unhappyRestlessness,unhappy restlessness
alabama,Alabama
anAmphisbaena,an amphisbaena
androgyny,androgyny
aphrodisiac,aphrodisiac
bast,Bast
blackMagic,black magic
chaos,chaos
chaos,Chaos
charityToThePoor,charity to the poor
charm,charm
chastity,chastity
chastity,Chastity
colorado,Colorado
contentment,contentment
darkness,darkness
desolation,desolation
duplicity,duplicity
envy,envy
envy,Envy
evilOmen,evil omen
fear,fear
fertility,fertility
fertility,fertility
filth,filth
fukurokuju,Fukurokuju
ghosts,ghosts
gossip,gossip
happiness,happiness
harbingerOfRain,harbinger of rain
hypocrisy,hypocrisy
hypocrisy,Hypocrisy
impurity,impurity
industry,industry
industry,industry
isis,Isis
kansas,Kansas
lucky,lucky
lucky,lucky
madhyaPradesh,Madhya Pradesh
madness,madness
melancholy,melancholy
melancholy,melancholy
melancholy,Melancholy
melancholy,Melancholy
misfortune,misfortune
mississippi,Mississippi
nahua,Nahua
night,night
night,Night
north,North
obscurity,obscurity
peace,peace
peace,Peace
sanctity,sanctity
scrotum,scrotum
soulsOfTheDead,souls of the dead
soulsOfTheDead,souls of the dead
stAnsanus,St. Ansanus
stDorothea,St. Dorothea
stDorotheaOfCappadocia,St. Dorothea of Cappadocia
stPhilip,St. Philip
theFemininePrinciple,the feminine principle
aches,aches
anUrbanLegendThatLickAndStickBlueStarsLacedWithLsdWereGivenToSchoolChildrenToGetThemHooked,an urban legend that lick-and-stick blue stars laced with LSD were given to school children to get them hooked
awardedToMilitaryHeroes,awarded to military heroes
bards,bards
bards,bards
bearingHolyWitness,bearing holy witness
charonSBoatOnTheStyx,Charon’s boat on the Styx
beauty,beauty
candor,candor
clouds,clouds
colds,colds
coolness,coolness
defeatOfAnEnemy,defeat of an enemy
haven,haven
heavenlyLove,heavenly love
heavenlyTruth,heavenly truth
heraJuno,Hera/Juno
hurt,hurt
justiceUntemperedByLove,justice untempered by love
lossOfLove,loss of love
nonEroticTenderLove,"non-erotic, tender love"
occasionallyARoyalColor,occasionally a royal color
pains,pains
philosophicalSerenity,philosophical serenity
pleurisy,pleurisy
rightWingPolitics,right-wing politics
royalists,royalists
saidToSoakUpSunRaysAndCauseAStorm,said to soak up sun rays and cause a storm
sometimesChristInHisEarthlyMinistry,sometimes Christ in his earthly ministry
spotlessReputation,spotless reputation
spotlessReputation,spotless reputation
surreality,surreality
theAzureDragonOfTheEast,the Azure Dragon of the East
theCoolnessOfTheHeavensAboveAndTheWatersBelow,the coolness of the heavens above and the waters below
theLeastSubstantialOfTheColors,the least substantial of the colors
theSixthHeaven,the sixth heaven
theSpiritOfMan,the spirit of man
theStarryVault,the Starry Vault
theUnveilingOfTruth,the unveiling of truth
theWhigParty,the Whig party
theWisdomOfTheDharmaDhatu,the wisdom of the Dharma-Dhatu
timeAndSpace,time and space
toothache,toothache
weakStomachs,weak stomachs
witchesAbout,witches about
akshobhya,Akshobhya
aphroditeVenus,Aphrodite/Venus
aphroditeVenus,Aphrodite/Venus)
calmness,calmness
coldness,coldness
contemplation,contemplation
courage,courage
despondency,despondency
devotion,devotion
east,east
east,East
expiation,expiation
fairness,fairness
faithfulness,faithfulness
fidelity,fidelity
fidelity,Fidelity
folly,folly
foundation,foundation
glory,glory
glory,glory
halfMourning,half-mourning
harmony,harmony
hope,hope
hope,Hope
innocence,innocence
innocence,Innocence
intellect,intellect
intelligenceOrderAndUnity,"intelligence, order, and unity"
intuition,intuition
jupiterPlanet,Jupiter (planet)
libra,Libra
love,love
mediation,mediation
mercy,mercy
modesty,modesty
mourning,mourning
mourning,mourning
passivity,passivity
peace,peace
peace,Peace
piety,piety
piety,Piety
poets,poets
poets,poets
potentiality,potentiality
prudence,prudence
prudence,Prudence
purificationOfTheMind,purification of the mind
puritanism,Puritanism
religion,religion
religion,Religion
revelation,revelation
sagittarius,Sagittarius
samael,Samael
sanctification,sanctification
science,science
strength,strength
strength,Strength
theArchangelsAzrael,the archangels Azrael
understanding,understanding
unluckyOmen,unlucky omen
victory,victory
victory,Victory
vitality,vitality
war,war
wealth,wealth
germany,Germany
ghana,Ghana
gibraltar,Gibraltar
greece,Greece
greenland,Greenland
grenada,Grenada
groningenProvince,Groningen (province)
guatemala,Guatemala
guernsey,Guernsey
guinea,Guinea
guyana,Guyana
haiti,Haiti
heracles,Heracles
honduras,Honduras
hungary,Hungary
iceland,Iceland
infamy,infamy
invisibility,invisibility
iraq,Iraq
ivoryCoast,Ivory Coast
jamaica,Jamaica
jordan,Jordan
kenya,Kenya
kiribati,Kiribati
laGuajiraDepartment,La Guajira Department
latvia,Latvia
lebanon,Lebanon
lesotho,Lesotho
meghalaya,Meghalaya
mystery,mystery
newfoundlandAndLabrador,Newfoundland and Labrador
newJersey,New Jersey
obscurity,obscurity
protection,protection
righteousness,righteousness
royalty,royalty
shelter,shelter
sleep,sleep
sleep,Sleep
utah,Utah
withdrawal,withdrawal
glory,glory
glory,glory
glory,glory
immortality,immortality
immortality,immortality
inspiration,inspiration
inspiration,inspiration
peace,peace
peace,peace
peace,peace
peace,Peace
peace,Peace
peace,Peace
poetry,poetry
poetry,poetry
triumph,triumph
triumph,triumph
truce,truce
truce,truce
victory,victory
victory,victory
victory,Victory
victory,Victory
watchfulness,watchfulness
watchfulness,watchfulness
aLunarAndVirginInsect,a lunar and virgin insect
arcasKallistoCallisto,"Arcas, Kallisto/Callisto"
aSoul,a soul
attireOfBerserkers,attire of berserkers
awakeningTheIgnorantAndSlothful,awakening the ignorant and slothful
aWitchAndrogyny,"a witch, androgyny"
aWretchedDisgustingCreature,"a wretched, disgusting creature"
berne,Berne
charity,charity
charity,Charity
charity,Charity)
aBerserker,a berserker
aNakinneito,a nakinneito
aNakinneito,a nakinneito
black,black
carnalAppetite,carnal appetite
companionOfArtemisDiana,companion of Artemis/Diana
crueltyGreed,cruelty greed
dangerOfTheUnconscious,danger of the unconscious
ferocityInTheProtectionOfOneSKindred,ferocity in the protection of one’s kindred
florentinus,Florentinus
friendOfMankind,friend of mankind
grandfatherOfTheRace,grandfather of the race
guardianOfTheEast,guardian of the East
heraldOfTheBirthOfABoy,herald of the birth of a boy
inEarlyArtABeardIndicatedAPersonStillLivingTheDeadWereShownCleanShaven,"in early art, a beard indicated a person still living (the dead were shown clean shaven)"
lambdaLambdaLambda,Lambda Lambda Lambda
leibOlmai,Leib-olmai
maximus,Maximus
messengerOfTheForestSpirits,messenger of the forest spirits
mountainGod,mountain god
pessimismOrDecliningPricesOnTheStockMarket,pessimism or declining prices on the stock market
powerEqualToAKing,power equal to a king
primaryPhaseOfDevelopment,primary phase of development
archangelSamael,archangel Samael
casto,Casto
chAngKuo,Ch’ang Kuo
artemisDiana,Artemis/Diana
eponaSometimesRidingAWhiteHorseSidesaddle,Epona (sometimes riding a white horse sidesaddle)
europePersonified,Europe personified
fire,fire
frey,Frey
guideForTheDead,guide for the dead
hadesPluto,Hades/Pluto
hiddenNatureOfThings,hidden nature of things
machaOfUlster,Macha of Ulster
masterOfTheHorse,Master of the Horse
maurice,Maurice
mebdOfTara,Mebd of Tara
occasionallyClairvoyant,occasionally clairvoyant
oneSLife,one’s life
readinessForAction,readiness for action
rulingPower,ruling power
sambhavanatha,Sambhavanatha
steedOfMohammedAscendingIntoHeavenFromTheDomeOfTheRock,steed of Mohammed ascending into heaven from the Dome of the Rock
theBodyWithTheRoofAndAtticCorrespondingToTheMindTheBasementToTheUnconsciousTheKitchenAsAPlaceOfTransmutationTheWindowsAndDoorsAsBodyOpenings,"the body, with the roof and attic corresponding to the mind, the basement to the unconscious, the kitchen as a place of transmutation, the windows and doors as body openings"
theFaithfulChristianRacingTowardSalvation,the faithful Christian racing toward salvation
theFeminineAspectOfTheUniverse,the feminine aspect of the universe
theFunerals,the funerals
theSacrificeOfChristUponTheCrossEspeciallyWhenShownWithAChalice,"the sacrifice of Christ upon the Cross, especially when shown with a chalice"
aresMars,Ares/Mars
burkinaFaso,Burkina Faso
courage,courage
dionysusBacchus,Dionysus/Bacchus
divinity,divinity
divinity,divinity
divinity,divinity
eos,Eos
fecundity,fecundity
fidelity,fidelity
fidelity,Fidelity
generosity,generosity
george,George
guardianOfTheSouth,guardian of the South
hades,Hades
happiness,happiness
hospitality,hospitality
hospitality,Hospitality
hubert,Hubert
indestructibility,indestructibility
kings,kings
lesotho,Lesotho
lucky,lucky
mamanBrigitte,Maman Brigitte
marriage,marriage
martin,Martin
messengerOfTheGods,messenger of the gods
naziGermany,Nazi Germany
neptuneMythology,Neptune (mythology)
newJersey,New Jersey
newMexico,New Mexico
nigeria,Nigeria
nobles,nobles
perseverance,perseverance
poseidon,Poseidon
power,power
power,power
power,power
power,power
power,Power
